CLAS-30210-01		Roman Law & Governance	Mazurek, Tadeusz	Classics	2014-12-20	2015-05-08	$$1Spring
LLEA-33314-01		Cruel Stories of Youth	Shamoon, Deborah	East Asian Languages and Literatures	2011-08-08	2011-12-16	Fall$$1NA
HIST-30989-01		History of Science and Race	Peterson, Erik	History	2010-01-04	2010-05-07	Spring ENG$$1NA
THEO-20649-01		Christian Ethics, Technology, & War	Neal, Deonna	Theology	2010-01-04	2010-05-07	Spring ENG$$1NA
LLEA-33111-01		Chinese Literary Dreams and Dream of the Red Chamber	Ge, Liangyan	East Asian Languages & Literature	2012-08-06	2012-12-14	Fall$$1NA
THEO-60808-01		The Mystery of God	Betz, John	Theology	2014-07-28	2014-12-19	Fall$$1NA
STV-30110-01		Health, Healing, and Culture	Singh, Holly	Science, Technology and Values	2012-12-17	2013-05-10	Spring$$1NA
THEO-63206-01		Proseminar	Leyerle, Blake	Theology	2011-12-19	2012-05-11	Spring$$1NA
SUS-20010-01		Sustainability: Principles and Practices	Sitter, John	Sustainability	2012-12-17	2013-05-10	Spring$$1NA
FTT-20800-01		Introduction to Musical Theatre	Prizant, Yael	Film, Television, and Theater	2013-08-05	2013-12-20	Fall$$1NA
HIST-30452-01		Napoleon Bonaparte: Man, Myth, Legacy	Phillips, Sean	History	2014-12-20	2015-05-08	$$1Spring
HIST-30030-01		20th-Century World History	Westrate, Michael	History	2011-05-14	2011-08-05	Summer$$1NA
ROFR-40300-01		Reading Versailles	MacKenzie, Louis	French	2010-01-04	2010-05-07	Spring ENG$$1NA
GH-68550-01		Master's Project Research	Haussamen, Lacey	Biological Science	2012-08-06	2012-12-14	Fall$$1NA
ARHI-40416-01		American Art	Pyne, Kathleen	Art History	2010-01-04	2010-05-07	Spring ENG$$1NA
PHIL-93631-01		Alasdair MacIntyre's Radical Aristotelianism	Solomon, William	Philosophy	2012-08-06	2012-12-14	Fall$$1NA
BIOS-40435-01		Cellular and Molecular Basis of Human Disease	Schorey, Jeff	Biology	2011-12-19	2012-05-11	Spring$$1NA
ANTH-45811-01		Masculinities, Health, and (Dis)Order	Singh, Holly	Anthropology	2012-12-17	2013-05-10	Spring$$1NA
GSC-45105-01		Masculinities, Health, and (Dis)Order	Singh, Holly	Anthropology	2012-12-17	2013-05-10	Spring$$1NA
THEO-83402-01		Eastern Liturgies	Findikyan, Michael	Theology	2014-12-20	2015-05-08	$$1Spring
ALHN-13950-06		Honors Seminar	Roche, Mark	Arts and Letters - Honors	2013-08-05	2013-12-20	Fall$$1NA
LLEA-30416-01		Contemporary Japanese Fiction	Bowen-Struyk, Heather	East Asian Languages and Literatures	2014-07-28	2014-12-19	Fall$$1NA
FIN-30600-01		Investment Theory	Shive, S	Finance	2012-08-21	2013-12-20	Fall$$1NA
POLS-30010-01		American Political Parties	Wolbrecht, Christina	Political Science	2011-01-03	2011-05-13	Spring$$1NA
THEO-13183-06		Theology University Seminar	Connors, Michael	Theology	2013-12-23	2014-05-09	Spring$$1NA
CLGR-40017-01		Golden Age of Athens	Mazurek, Tadeusz	Greek Language and Literature	2012-12-17	2013-05-10	Spring$$1NA
ARCH-51831-01		Intro to Architectural Models	Buccellato, Kevin	Architecture	2010-08-23	2010-12-17	Fall Summer$$1NA
PHIL-43186-01		Kant's Ethics & Phil of Relig	Ameriks, Karl	Philosophy	2013-12-23	2014-05-09	Spring$$1NA
MUS-30451-01		Conducting I	Stowe, Daniel	Music	2013-08-05	2013-12-20	Fall$$1NA
POLS-30656-01		Human Rights and Human Wrongs	Verdeja, Ernesto	Political Science	2013-08-05	2013-12-20	Fall$$1NA
ARCH-60521-01		Applied Structural Systems	Lowing, Thomas	Architecture	2011-01-18	2011-05-09	Spring$$1NA
THEO-20807-01		Catholicism	McBrien, Richard	Theology	2010-08-09	2010-12-17	Fall$$1NA
THEO-83815-01		Ecclesiology	Murphy, Franchesca	Theology	2012-08-06	2012-12-14	Fall$$1NA
ITCS-2007		IT Core Skills 2007	Library	Library	2007-06-01	2023-08-01	$$1Fall$$2Spring$$3Summer
THEO-20605-02		Intro to Catholic Moral Theo	Elliot, David	Theology	2012-12-17	2013-05-10	Spring$$1NA
MUS-40120-01		Exoticism in Music	Mayes, Catherine	Music	2010-01-04	2010-05-07	Spring ENG$$1NA
IRLL-13186-01		Literature University Seminar	McKibben, Sarah	Irish Studies	2014-07-28	2014-12-19	Fall$$1NA
MATH-40480-01		Complex Variables	Stanton, Nancy	Mathematics	2014-12-20	2015-05-08	$$1Spring
POLS-30458-01		African Pol Since Independence	Dowd, Robert	Political Science	2013-12-23	2014-05-09	Spring$$1NA
PS-33400-01		Rhetorics of Gender and Poverty	Mick, Connie	Poverty Studies	2013-08-05	2013-12-20	Fall$$1NA
THEO-60281-01		Patristic and Medieval Interpretation of the Psalter	Astell, Ann	Theology	2011-06-06	2011-08-05	Summer$$1NA
ROSP-40530-01		Gender and National Identity in Spanish Cinema	Jerez-Farran, Carlos	Spanish	2012-12-10	2013-05-17	Spring$$1NA
